count,hate_speech_count,offensive_language_count,neither_count,class,labels,cleaned_tweet
3,0,0,3,1,positive,woman complain cleaning house amp man always take trash
3,0,3,0,0,negative,boy dats cold tyga dwn bad cuffin dat hoe st place
3,0,3,0,0,negative,dawg ever fuck bitch start cry confused shit
3,0,2,1,0,negative,look like tranny
6,0,6,0,0,negative,shit hear might true might faker bitch told ya
3,1,2,0,0,negative,shit blows claim faithful somebody still fucking hoes
3,0,3,0,0,negative,not sit hate another bitch got much shit going
3,0,3,0,0,negative,cause tired big bitches coming us skinny girls
3,0,3,0,0,negative,amp might not get ya bitch back amp thats
3,1,2,0,0,negative,hobbies include fighting mariam bitch
3,0,3,0,0,negative,keeks bitch curves everyone lol walked conversation like smh
3,0,3,0,0,negative,murda gang bitch gang land
3,0,2,1,0,negative,hoes smoke losers yea go ig
3,0,3,0,0,negative,bad bitches thing like
3,1,2,0,0,negative,bitch get
3,0,3,0,0,negative,bitch nigga miss
3,0,3,0,0,negative,bitch plz whatever
3,1,2,0,0,negative,bitch love
3,0,3,0,0,negative,bitches get cut everyday b
3,0,3,0,0,negative,black bottle amp bad bitch
3,0,3,0,0,negative,broke bitch cant tell nothing
3,0,3,0,0,negative,cancel bitch like nino
3,0,3,0,0,negative,cant see hoes wont change
3,0,3,0,0,negative,fuck bitch dont even suck dick kermit videos bout fuck ig
3,0,3,0,0,negative,got ya bitch tip toeing hardwood floors
3,0,2,1,0,negative,pussy lips like heaven doors
3,0,3,0,0,negative,hoe hitting
3,0,3,0,0,negative,met pussy ocean dr gave pussy pill
3,0,3,0,0,negative,need trippy bitch fuck hennessy
3,0,3,0,0,negative,spend money want bitch business
3,0,3,0,0,negative,txt old bitch new bitch pussy wetter
3,0,3,0,0,negative,say im back old old bitches would get excited
3,0,3,0,0,negative,aint bout murder game pussy nigga shut
3,0,3,0,0,negative,toes done pussy stinks
3,0,3,0,0,negative,im done bitter bitches wrap angry bird theres app
3,0,3,0,0,negative,ya bitch
3,0,3,0,0,negative,aint nothing cut bitch
3,0,3,0,0,negative,jus meet son ya mane ass bitches shots
3,0,2,1,0,negative,lames crying hoes thats tears clown
3,0,3,0,0,negative,like snoop said dont love hoes
3,0,1,2,1,positive,momma said pussy cats inside doghouse
3,0,3,0,0,negative,hated hoes favorite mw sevenone
3,0,3,0,0,negative,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick
3,0,3,0,0,negative,pimps pimps hoes future voice
3,0,3,0,0,negative,post picture pussy get likes
3,0,3,0,0,negative,pussy powerful drug happyhumpday
3,0,3,0,0,negative,quick piece pussy call drive
3,0,3,0,0,negative,running round like brand new pussy thats bout get fucked
3,0,3,0,0,negative,bitches even worst send guys
3,1,2,0,0,negative,hoes like niggas spend money not talk bout
3,1,2,0,0,negative,dont trust niggas bitches
3,0,3,0,0,negative,yall niggas b cuffing hoes cause yall aint never bitches
3,0,3,0,0,negative,dodge bullet da bitches cut pregnant bound thank god
3,0,3,0,0,negative,young pill chamberlain bitches love music
3,0,2,1,0,negative,teanna trump probably cleaner twitter hoes
3,0,3,0,0,negative,gay niggas wait act like bitches tonight
3,0,3,0,0,negative,ima steal cat n replace pitbull bitch
3,0,3,0,0,negative,amp gone always hoe
3,0,3,0,0,negative,son bitch took tic tacs like movie
3,0,3,0,0,negative,wanna get money fuck model bitches russell simmons
3,0,2,1,0,negative,probably mind school much deal bitch ass teachers retweet
3,0,3,0,0,negative,fucking fag said
3,0,3,0,0,negative,females think dating pussy cute stuff make pussy
3,0,0,3,1,positive,simplyaddictedtoguys woof woof hot scally lad
3,0,3,0,0,negative,ya ever asked bitch bitches kanye voice yes
3,0,3,0,0,negative,u gone bring ur side bitch game know ya gf friends swear
3,0,1,2,1,positive,woof woof hot soles
3,0,1,2,1,positive,lemmie eat oreo amp dishes one oreo lol
3,0,3,0,0,negative,bitch fuck u maybe get better
3,1,2,0,0,negative,fuck red malone man bitch ass niggah could please use complete sentences
3,0,0,3,1,positive,eggplant emoji doe say looked like scream lmao
3,0,3,0,0,negative,hennessey venom gt one sexy bitch
3,0,3,0,0,negative,seh pussy wetter shower curtain ahmesehwetness lt lmao
3,0,3,0,0,negative,eaglesnation every eagles need see pic posted bitch said racist shit
3,1,2,0,0,negative,yo fuck skateboarding wood pushing faggots man ball life
3,0,1,2,1,positive,baby monkey bathtime soooo adorable
3,0,3,0,0,negative,shit damn skippy lol
3,1,2,0,0,negative,u ever kill ant sidewalk think damn nigga way get pussy bs must b gt chance
3,0,3,0,0,negative,rings mvps bitches lol
3,1,2,0,0,negative,ppl talk bad ghetto hood kid growing nigga funnnnnnn
9,0,7,2,0,negative,facts tattoos tattoo pussy not tattooing nipples
3,0,3,0,0,negative,bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
3,0,3,0,0,negative,get worshiping bitch woof woof
3,1,2,0,0,negative,wow lost buttcheek piercings yeah hoe
3,0,3,0,0,negative,ok sis rather broke bitch shrugs tell works
3,2,1,0,0,negative,queer gaywad
3,0,3,0,0,negative,faggot read tweets dat k even funny lol
3,0,3,0,0,negative,bitch ungrateful fr lulwhore
3,0,3,0,0,negative,kidnapped yo bitch
3,3,0,0,0,negative,alsarabsss hes beaner smh tell hes mexican
3,1,2,0,0,negative,happy birthday nigs thanks yo
6,1,5,0,0,negative,ur teacher tells u u homework bitch need go
3,1,2,0,0,negative,nigga eating hoe lol hell yea lol john paul nigga said john paul
3,0,3,0,0,negative,would lil ugly bald headed bitches stop making make amp weave
3,1,2,0,0,negative,leafs better win damn game go riot shit earlychristmas better start looting nig
3,0,3,0,0,negative,going back school sucks dick hoes attend
3,0,3,0,0,negative,way fuck yo bitch year old
3,0,3,0,0,negative,come never bring food dont car retard
3,0,3,0,0,negative,richnow show hella tinder hoes im not friend anymore chill brought like like prople
3,1,2,0,0,negative,bout cowboys shutup pussy
3,0,3,0,0,negative,lmaooooooooooo nigga lt bitch want likes depressing shit foh
3,0,3,0,0,negative,girl know spitting g shit amp going lbvs bitch plz
3,0,3,0,0,negative,let make couple tweets cuzzo page get twitter jail lmao bitch trick
3,0,2,1,0,negative,harlem shake excuse go full retard seconds
3,0,3,0,0,negative,amen miley need act like hoe bc emotionally damaged foh
3,0,3,0,0,negative,one loyal female wayyyyy better hoes idc
3,0,3,0,0,negative,pussy licking pussy meow meow stopwhitepeople
3,0,3,0,0,negative,check th man cowboysnation even faggot ny fans stands
3,0,3,0,0,negative,happen vixen ent bitches got ran threw side like foothill bitch
3,0,3,0,0,negative,im bitch okay nudes pat wow
3,3,0,0,0,negative,fucking gay blacklisted hoe holding tehgodclan anyway
3,0,3,0,0,negative,fuck wrong bitches nobody knows
3,0,3,0,0,negative,yall shut p make bitch
3,1,2,0,0,negative,hate pregnant type bitch
3,0,3,0,0,negative,got bitches dm ever read em top
3,0,0,3,1,positive,baseball season win yankees love started
3,0,3,0,0,negative,little stupid bitch fuck yoooooouuuu
3,0,3,0,0,negative,really asked dead ass serious tho could say bitch wheet lol
3,0,0,3,1,positive,early bird night owl wise worms
3,0,1,2,1,positive,overdosing heavy drugs sound bad tonight pussy shit every day
3,0,0,3,1,positive,pit bulls photographed lovely fairy tale creatures fairy tale creatures
3,0,3,0,0,negative,aw fag tweet aw lol
3,0,0,3,1,positive,long lakers trash could careless real cc hahaha
3,0,3,0,0,negative,say anything tho kiss faggot
3,0,0,3,1,positive,play soccer cheat girls wear khaki coloured cargos haircut yup
3,0,3,0,0,negative,could go fat ass bitch lap
3,0,3,0,0,negative,missed calls das yo p bitch twitter finna screamn freemoneymelle
6,0,6,0,0,negative,ya side bitch gotta know rules shit anybody ask cousin jersey thinkin bout moving lmmfao
3,0,3,0,0,negative,amo los pies fuck yeah
3,0,3,0,0,negative,hoes thinking meat slap ass ainna bruh
3,0,3,0,0,negative,yall bitches wit edges talking
3,0,3,0,0,negative,yall still going trick treating year nah hell yeah ima da sweet tooth bandit steal bitches bags n shit
3,0,3,0,0,negative,wanna sex mom fuck right pussy came damn got hacked like fuck
6,0,6,0,0,negative,kiss u eyes open watch bitch lmfao
3,0,3,0,0,negative,woulda coulda shoulda ass hoe
3,0,3,0,0,negative,happy bday bitch ass nigga preciate bitch roll
3,0,3,0,0,negative,used send bitch
6,0,6,0,0,negative,ugly bitches like wcw duh bitch nobody elses
3,1,2,0,0,negative,nigga know hacky sack hoes nah throw look passes lmao
3,1,2,0,0,negative,glad getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
3,0,1,2,1,positive,ghetto smart idc
3,0,2,1,0,negative,would wife hoe cuz care cheating force relationship first place
3,0,3,0,0,negative,single excuse hoe
3,1,2,0,0,negative,white boy power bitch black power bitch
3,0,3,0,0,negative,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
3,0,3,0,0,negative,bitch u around world back
3,0,3,0,0,negative,get dick sucked yo party bad bitch fr gone set
3,0,2,1,0,negative,oomf soooo cute probably hoes lot
3,0,3,0,0,negative,every cartoon alway saving hoes lmao lmao damn captain saveahoe
3,0,1,2,1,positive,wants get nose bad bois scally chav sockfetish stinking hot sox legs
3,0,3,0,0,negative,wish bitch like brother keezy ooooow bet
6,0,6,0,0,negative,dressed cat halloween basic pussy
4,0,4,0,0,negative,pornhub get gaming stream feature dumb bitches gtfo get katie lt
3,0,3,0,0,negative,stop scared choke sex u bitch ass niggas like says guy hits women bed foh
3,0,3,0,0,negative,ha well iguess make hoes loyal bro theyll never loyal hoes nig
6,0,6,0,0,negative,oh man molly ho fuck ya seed fixed
3,0,3,0,0,negative,not man refer every girl bitch
3,0,3,0,0,negative,lmfao cat started beating shit nigga finally got pussy nigga
3,0,1,2,1,positive,peel peel bring back rewind back move shaq line ooooow tf said trash
3,0,2,1,0,negative,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,0,negative,naw old tape new cover upcoming mixtape kingofthehill yeah waiting hoe mayne
3,0,3,0,0,negative,ol dirty foot ass bitches funny
3,0,3,0,0,negative,get yellow flags amazing hell yeah niggy
3,0,3,0,0,negative,got time bitches actin iffy
3,0,0,3,1,positive,ucfpinkparty come stay alive knights nation still early bird special comeatmeut
3,0,2,1,0,negative,hoes loyal smfh amp wonder nobody decent wants
3,0,3,0,0,negative,bruh studs keep thinking soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
3,0,3,0,0,negative,dry pussy bitches always blame condom
3,0,3,0,0,negative,shut yo bitch ass
3,0,3,0,0,negative,gucci mane jail dropping mixtapes every month hoes even text back
3,0,3,0,0,negative,love hoes money wats wrong niggas
6,0,6,0,0,negative,loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
3,0,3,0,0,negative,easy cum easy hoe fact
3,0,3,0,0,negative,charlie sheen real major fucking respect charlie sheen
3,0,3,0,0,negative,wish bae got hoes tho
3,0,3,0,0,negative,fuck twerking bitch cook
3,0,3,0,0,negative,bitch wtf
3,1,2,0,0,negative,shut zoe fight pussy zoe good man good move along
3,0,3,0,0,negative,lmao fucking snake bitches em
3,0,3,0,0,negative,big booty hoes everywhere sheesh damn
3,0,0,3,1,positive,stay tuned update report b weeks bum
3,0,0,3,1,positive,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao
3,0,3,0,0,negative,oregon chokes every year get field trash ass program rft
3,0,3,0,0,negative,def not cowboy lol terrell owens best eagle amp cowboy ever dude cried like bitch tv romo
3,3,0,0,0,negative,lmfaoooo hate black people black people niggers
3,0,3,0,0,negative,could u bitch potent
3,0,1,2,1,positive,pissed lad past would lick dirty soles slept
3,0,1,2,1,positive,love frat boy w soft long soles
3,0,1,2,1,positive,sexy lad hot soles arches
3,0,3,0,0,negative,nah fam gotta cheat hoes depends female feel
3,0,0,3,1,positive,got hicks lol
3,1,2,0,0,negative,new twitter confusing shit go back south america bitch
3,0,3,0,0,negative,toto means ass vagina think pussy cause toto santi like nasty pussy
3,0,3,0,0,negative,actually choose ugly bitch ass must fat
3,0,3,0,0,negative,bitch kill vibe ya tried dis love miley
3,0,3,0,0,negative,tired bitches saying look mean nigga big af wear tight shirts grim everybody
6,0,0,6,1,positive,birds grandkids may never see thanks climate change climate
3,0,3,0,0,negative,stay beautiful bitch
3,0,3,0,0,negative,wutkinda r purple ceeeleee man gurl jus playin stupid hoe track still shitted sum gurls
3,0,3,0,0,negative,money getting taller bitches getting blurry
3,1,2,0,0,negative,never seen bitch obsessed nigga obsessed mine
3,0,2,1,0,negative,kobe stay talking trash let not forget meant one smh
3,2,1,0,0,negative,least not nigger lmfao
3,0,3,0,0,negative,people always asking mixed bad asian bitch lol
3,2,1,0,0,negative,ariza snake coward least cripple like hero roach lmaoo
3,0,1,2,1,positive,fosters home imaginary trash whoa chill show everything tf
6,0,5,1,0,negative,lowkey tired tired quiet go sleep hoe
3,0,3,0,0,negative,stop bringing weird niggers mentions
3,0,3,0,0,negative,love hoes
3,0,3,0,0,negative,yo girl cant homeboys ol weak bitch ass nigga
3,0,3,0,0,negative,think worst advice gave pussy speed lol
3,0,3,0,0,negative,quote tweet favorite animal pussy
3,0,3,0,0,negative,hate strippers tell dancers hoe ballet dancers pop pussy beethoven stripper
3,0,3,0,0,negative,andrewbryant poff double vision beers poff double pussy smh
3,0,3,0,0,negative,bitches twerk computer ya ya damn
3,0,3,0,0,negative,prince art nobody takin bitch
3,0,1,2,1,positive,welfare government aid claimed white people black slander trash
3,0,3,0,0,negative,bitches care play role
6,0,6,0,0,negative,took find hiding lime tree dis bitch da wrong tree bro
6,3,2,1,0,negative,drakes new shoes released nike jordan yes glitter shoes dudes fag
3,0,1,2,1,positive,inna di ghetto alone lmaoo
3,0,1,2,1,positive,hoes austin teach us austin teach u get curved know
3,1,2,0,0,negative,bitches cook know suck dick ones
3,0,3,0,0,negative,fat hoes get chose lol
3,0,3,0,0,negative,hoesaintloyal well hoes one expects loyal
3,0,3,0,0,negative,ol bitch ass
3,1,2,0,0,negative,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo
3,0,3,0,0,negative,tony romo mavs game dont mean still not bitch lmao fuk cowgirls lol bitch fuck
3,0,3,0,0,negative,holy shit freddie highmore charlie chocolate factory rolls floor laughing
3,1,2,0,0,negative,want sex gf feel like using anonymous whata faggot
3,0,3,0,0,negative,one followers somebody bitch
3,0,3,0,0,negative,ya bitch always bitching clearly care annoying bitch
3,0,3,0,0,negative,catfish hoes thinkin slick niggas catching
3,0,3,0,0,negative,worry bitch worried bout real
3,0,3,0,0,negative,side hoes insecure niggas handle real one
3,0,3,0,0,negative,lmao bitch come scooting tent like fuck shit
3,0,3,0,0,negative,cousin said share hoes brothers said sharing caring love brothers
3,0,3,0,0,negative,hungry ionn wanna spend money food broke hoe problems
6,0,6,0,0,negative,dese hoes lyin us nigga
3,0,3,0,0,negative,oh yeah fuck bitch
3,0,1,2,1,positive,eli manning threw nfl leading th interception season lmao trash
3,0,1,2,1,positive,usc senior rb anthony brown calls head coach steve sarkisian racist quits team bitch
3,0,3,0,0,negative,guess also zero time mansplaining adios stfu pussy
3,0,1,2,1,positive,chilling sexy scally lad
3,0,3,0,0,negative,sharing bitch mines mines
3,0,3,0,0,negative,money impress simple broke bitches
