count,hate_speech_count,offensive_language_count,neither_count,class,tweet,binary_class,tweet_length,word_count
3,0,0,3,2,rt mayasolov woman shouldnt complain clean hous amp man alway take trash,safe,140,25
3,0,3,0,1,rt mleew boy dat coldtyga dwn bad cuffin dat hoe st place,unsafe,85,16
3,0,3,0,1,rt urkindofbrand dawg rt sbabylif ever fuck bitch start cri confus shit,unsafe,120,21
3,0,2,1,1,rt cganderson vivabas look like tranni,unsafe,62,9
6,0,6,0,1,rt shenikarobert shit hear might true might faker bitch told ya,unsafe,137,26
3,1,2,0,1,tmadisonx shit blow meclaim faith somebodi still fuck hoe,unsafe,158,19
3,0,3,0,1,brighterday sit hate anoth bitch got much shit go,unsafe,105,20
3,0,3,0,1,selfiequeenbri caus im tire big bitch come us skinni girl,unsafe,98,13
3,0,3,0,1,amp might get ya bitch back amp that,unsafe,58,13
3,1,2,0,1,rhythmixx hobbi includ fight mariam bitch,unsafe,57,7
3,0,3,0,1,keek bitch curv everyon lol walk convers like smh,unsafe,88,18
3,0,3,0,1,murda gang bitch gang land,unsafe,34,8
3,0,2,1,1,hoe smoke loser yea go ig,unsafe,52,14
3,0,3,0,1,bad bitch thing like,unsafe,45,11
3,1,2,0,1,bitch get,unsafe,23,7
3,0,3,0,1,bitch nigga miss,unsafe,31,8
3,0,3,0,1,bitch plz whatev,unsafe,22,5
3,1,2,0,1,bitch love,unsafe,25,7
3,0,3,0,1,bitch get cut everyday b,unsafe,34,8
3,0,3,0,1,black bottl amp bad bitch,unsafe,34,8
3,0,3,0,1,broke bitch cant tell noth,unsafe,36,8
3,0,3,0,1,cancel bitch like nino,unsafe,31,7
3,0,3,0,1,cant see hoe wont chang,unsafe,39,9
3,0,3,0,1,fuck bitch dont even suck dick kermit video bout fuck ig,unsafe,107,19
3,0,3,0,1,got ya bitch tip toe hardwood floor,unsafe,82,13
3,0,2,1,1,pussi lip like heaven door,unsafe,46,9
3,0,3,0,1,hoe hit,unsafe,28,7
3,0,3,0,1,met pussi ocean dr gave pussi pill,unsafe,69,17
3,0,3,0,1,need trippi bitch fuck hennessi,unsafe,46,11
3,0,3,0,1,spend money want bitch busi,unsafe,53,13
3,0,3,0,1,txt old bitch new bitch pussi wetter,unsafe,48,12
3,0,3,0,1,id say im back old old bitch would get excit,unsafe,80,18
3,0,3,0,1,aint bout murder game pussi nigga shut,unsafe,57,13
3,0,3,0,1,your toe aint done pussi stink,unsafe,46,10
