class,labels,cleaned_tweet,sentiment_score
0,negative,salute hoes hoe kno places place bitches bitch miss,-0.8519
0,negative,bobby bitch,-0.5859
0,negative,loud jamaican horns horn u still single yall find ugliest hoes hoe attractive,-0.2263
0,negative,old pussy still poppin tho,0.0
0,negative,um exactly hoes hoe twat setup,-0.6597
0,negative,turn turn wheres bitches bitch,-0.8271
0,negative,haha nigga coco wait fuckkk like hunna hoes hoe summer haha jk,0.8555
0,negative,luda said say bitch bad well mine looks look better well weather lol,0.1531
0,negative,lord help bitch,-0.2732
0,negative,obama id call press conference amp slit joe bidens neck live tv show crackers cracker mean business,0.0
0,negative,suck yo momma flappy bird,-0.4404
0,negative,yall trash cold,0.0
0,negative,literally got get shit seagull gon na fuckin die bird,-0.8176
0,negative,fuck wit hoe niggas nigga,-0.7096
0,negative,ghetto ass as bitches bitch came come job talm bout sum yes u daddy,-0.8591
0,negative,put money pussy,0.0
0,negative,subtweeting little bitch taking take high road,-0.5434
0,negative,wan na experience late amp early pussy,0.0
0,negative,ooh yea getting get hoes hoe,0.0
0,negative,wtf hoe answer question,-0.5859
0,negative,suck dick tho better well brownies brownie,-0.296
0,negative,lil stupid ass as bitch aint fuckin wit,-0.8934
0,negative,could never bring fw bitch nigga wears wear everybody else shit like um broke amp bummy ya fuccing boof,-0.2091
0,negative,bitches bitch tweeting tweet last night gt gt like something special except hoes hoe,-0.0772
0,negative,getting get bitches bitch whole life getting get money whole life,-0.8271
0,negative,sitting sit bar work watching watch walking walk dead fucking fuck wetbacks wetback decide come amp turn spic music jesus christ,-0.8316
0,negative,basically foams foam ugly dem bitches bitch look big long floppy nh,-0.8316
0,negative,nobody wit im alone shit dont think im actin funny im zone bitch,-0.7579
0,negative,fuck bad bitch id rather good girl freak times time,-0.8957
0,negative,ass as oreos oreo name thad castle,-0.5423
0,negative,bitch white stfu shitty spanish,-0.8126
0,negative,ps p big booty hoe tig ol bitties xbox one pancake booty hoe pancake tits tit,-0.2263
0,negative,bitches bitch hate another bitch relationship,-0.9451
0,negative,nothing dirty whore fuck bitch,0.5991
0,negative,know would tonight atl mansionelan bet bitch gone go lit tonight,-0.5859
0,negative,cute ass as niggah,-0.128
0,negative,stand line clubs club security come escort yellow diamonds diamond tell bitch get scorpion,0.0
0,negative,come tnd atrocities atrocity starts start followed follow lost lose cause auramea night verses verse norma jean let fill bitch,-0.8316
0,negative,bitch educated educate clients client pay payments payment,-0.6369
0,negative,pusha ye gon na write whole bitch,-0.5859
0,negative,hoe ass as nigga,-0.5423
0,negative,hoes hoe know,0.0
0,negative,bro hoe live,0.0
0,negative,ion care none bitches bitch,0.8562
0,negative,ion care niggas nigga date b bitch make happy cool,0.4588
0,negative,every bad bitch nigga tired tire fucking fuck,-0.9287
0,negative,hoes hoe deserve respect ask,0.4767
0,negative,im talking talk pucture pussy cat nit twit,0.0
0,negative,lame ass as nigga still cuffin hoes hoe bitch got get bitch er,-0.9313
0,negative,punk bitch,-0.5859
0,negative,talk blahblah bye bitch,-0.5859
0,negative,sharkeisha lose one face due brute force knockout punch dat bitch got get sharkeisha,-0.7579
0,negative,im coolin know ole shit different day nig,-0.5574
0,negative,lees lee hoe een gepeste jongen zich probeert te verdedigen ingezonden brief volkskrant pesten,0.0
0,negative,nuttin cut bitch,-0.7096
0,negative,not straight men frustrated frustrate unlike okcupid queer folks folk ability block,-0.3591
0,negative,triple nipple ass as hoes hoe,-0.5423
0,negative,idgaf sounds sound illogical twitter bitch,-0.5859
0,negative,still wont get bitches bitch wow wtf,0.7366
0,negative,like retarded retard wu tang clan,-0.6808
0,negative,hell perks perk hoe bullshit,-0.8555
0,negative,okay smash one homeboys homeboy bitches bitch girl long tell afterwards,-0.7783
0,negative,catch fuckin tonight nolinenowait bitch well meetmethere,-0.4019
0,negative,knew faggot though,-0.6597
0,negative,happy hour time best time da day niggas nigga know bout happy hour hoes hoe,0.8807
0,negative,squad lil bitch,-0.5859
0,negative,use sneak cats cat back wood hollow ceelo ranch toss ass as pool lil bitches bitch,-0.9042
0,negative,pass pas bitch,-0.5859
0,negative,bra bout blaze bitch,-0.5859
0,negative,guys guy pussies pussy,0.0
0,negative,lowkey got get fan hoop skills skill lbcc aha niggah lol,0.6249
0,negative,hoes hoe going go learn spell,0.0
0,negative,party goin chain bad bitches bitch,-0.8591
0,negative,errday take chances chance real street nigga shit take chances chance fuckin wit u nothin ass as hoes hoe sumtime lol,0.0772
0,negative,bad bitches bitch aint cheap better well pass pas u broke,-0.9533
0,negative,thats never call bitch shit,0.7181
0,negative,hoes hoe everybody hoes hoe lol go bitch bet u get easy,0.2263
0,negative,swear n zee da niccas aint got get da update yet lt right wit cha bruh,-0.0516
0,negative,lbs lb aint thick bitch fucking fuck warthog,-0.1098
0,negative,niggas nigga actin like bitches bitch,-0.8225
0,negative,may bitch least keep real,-0.5859
0,negative,call girl bitch get offended offend u put bad front swear queen,-0.8934
0,negative,not associate ya nicca,0.0
0,negative,yo bitch fun,-0.128
0,negative,fuck drama class bitch boring hell,-0.9349
0,negative,ungrateful bitches bitch never happy u not happy u mean u happy youngjefe,-0.9623
0,negative,bad bitches bitch glocks choppas,-0.9042
0,negative,ha lol like selenas horny bitch lol,0.6908
0,negative,u steal hoe,-0.4939
0,negative,would want girl stand im man bitch letting let,-0.5423
0,negative,never item psycho bitch,0.4717
